"010000",Державне управлiння,"5,300,324.00","2,218,246.00","347,085.00","70,000.00",,,,"70,000.00","70,000.00","70,000.00","5,370,324.00"
"100000",Житлово-комунальне господарство,,,,"500,000.00",,,,"500,000.00","500,000.00","500,000.00","500,000.00"
"100106",Капітальний ремонт житлового фонду об҆єднань співвласників багатоквартирних будинків,,,,"500,000.00",,,,"500,000.00","500,000.00","500,000.00","500,000.00"
"010116",Органи мiсцевого самоврядування,"5,300,324.00","2,218,246.00","347,085.00","70,000.00",,,,"70,000.00","70,000.00","70,000.00","5,370,324.00"
"110000",Культура i мистецтво,"46,243,525.00","11,465,700.00","1,456,730.00","2,010,370.00","214,370.00","47,000.00","13,000.00","1,796,000.00","1,736,100.00","1,736,100.00","48,253,895.00"
"110102",Театри,"12,807,200.00",,,"350,000.00",,,,"350,000.00","350,000.00","350,000.00","13,157,200.00"
"110103","Фiлармонiї, музичнi колективи i ансамблi та iншi мистецькі  заклади та заходи","8,649,400.00",,,"700,000.00",,,,"700,000.00","700,000.00","700,000.00","9,349,400.00"
"110201",Бiблiотеки,"10,935,525.00","7,386,500.00","533,530.00","645,370.00","80,270.00","17,000.00","13,000.00","565,100.00","536,100.00","536,100.00","11,580,895.00"
"110202",Музеї i виставки,"6,833,600.00","3,328,900.00","856,900.00","310,000.00","129,100.00","30,000.00",,"180,900.00","150,000.00","150,000.00","7,143,600.00"
"110502",Iншi культурно-освiтнi заклади та заходи,"7,017,800.00","750,300.00","66,300.00","5,000.00","5,000.00",,,,,,"7,022,800.00"
"120000",Засоби масової iнформацiї,"1,870,000.00",,,,,,,,,,"1,870,000.00"
"120201",Перiодичнi видання (газети та журнали),"970,000.00",,,,,,,,,,"970,000.00"
"120300",Книговидання,"900,000.00",,,,,,,,,,"900,000.00"
"130000",Фiзична культура i спорт,"15,315,400.00","4,814,600.00","484,312.00","293,400.00","140,000.00","10,000.00","12,000.00","153,400.00","153,400.00","153,400.00","15,608,800.00"
"130102",Проведення навчально-тренувальних зборiв i змагань,"1,365,190.00",,,,,,,,,,"1,365,190.00"
"130104",Видатки на утримання центрiв з iнвалiдного спорту i реабiлiтацiйних шкiл,"1,802,233.00","837,000.00","49,562.00",,,,,,,,"1,802,233.00"
"130105",Проведення навчально-тренувальних зборiв i змагань та заходiв з iнвалiдного спорту,"156,450.00",,,,,,,,,,"156,450.00"
"130107",Утримання та навчально-тренувальна робота дитячо-юнацьких спортивних шкiл,"4,347,793.00","2,602,600.00","400,500.00","125,000.00","75,000.00",,"12,000.00","50,000.00","50,000.00","50,000.00","4,472,793.00"
"130112",Iншi видатки,"1,169,173.00",,,,,,,,,,"1,169,173.00"
"130114",Забезпечення підготовки спортсменів вищих категорій школами вищої спортивної майстерності ,"2,113,610.00","1,139,300.00","18,250.00","118,200.00","65,000.00","10,000.00",,"53,200.00","53,200.00","53,200.00","2,231,810.00"
"130115","Центри ""Спорт для всіх"" та заходи з фізичної культури","525,350.00","235,700.00","16,000.00",,,,,,,,"525,350.00"
"130201",Проведення навчально-тренувальних зборiв i змагань (які проводяться громадськими організаціями фізкультурно-спортивної спрямованості),"332,000.00",,,,,,,,,,"332,000.00"
"130203",Утримання та навчально-тренувальна робота дитячо-юнацьких спортивних шкiл (які підпорядковані громадським організаціям фізкультурно-спортивної спрямованості),"3,246,313.00",,,"50,200.00",,,,"50,200.00","50,200.00","50,200.00","3,296,513.00"
"130204","Утримання апарату управлiння громадських фiзкультурно-спортивних органiзацiй (ФСТ ""Колос"")","257,288.00",,,,,,,,,,"257,288.00"
"150000",Будiвництво,"945,800.00",,,"20,755,667.60",,,,"20,755,667.60","20,755,667.60","20,755,667.60","21,701,467.60"
"150101",Капiтальнi вкладення,,,,"4,562,250.00",,,,"4,562,250.00","4,562,250.00","4,562,250.00","4,562,250.00"
"150110","Проведення невідкладних відновлювальних робіт, будівництво та реконструкція загальноосвітніх навчальних закладів ",,,,"1,177,247.00",,,,"1,177,247.00","1,177,247.00","1,177,247.00","1,177,247.00"
"150111","Проведення невідкладних відновлювальних робіт, будівництво та реконструкція спеціалізованих навчальних закладів ",,,,"9,099,355.00",,,,"9,099,355.00","9,099,355.00","9,099,355.00","9,099,355.00"
"150112","Проведення невідкладних відновлювальних робіт, будівництво та реконтрукція позашкільних навчальних закладів",,,,"28,266.60",,,,"28,266.60","28,266.60","28,266.60","28,266.60"
"150114","Проведення невідкладних відновлювальних робіт, будівництво та реконструкція лікарень загального профілю ",,,,"1,234,028.00",,,,"1,234,028.00","1,234,028.00","1,234,028.00","1,234,028.00"
"150119","Проведення невідкладних відновлювальних робіт, будівництво та реконструкція спеціалізованих лікарень та інших спеціалізованих закладів ",,,,"3,264,257.07",,,,"3,264,257.07","3,264,257.07","3,264,257.07","3,264,257.07"
"150201","Збереження, розвиток, реконструкція та реставрація  пам'яток   історії та культури",,,,"1,390,263.93",,,,"1,390,263.93","1,390,263.93","1,390,263.93","1,390,263.93"
"150202",Розробка схем та проектних рішень масового застосування,"945,800.00",,,,,,,,,,"945,800.00"
"160000","Сiльське і лiсове господарство, рибне господарство та мисливство","4,510,000.00",,,,,,,,,,"4,510,000.00"
"160101",Землеустрій,"1,000,000.00",,,,,,,,,,"1,000,000.00"
"160903","Програми в галузі сільського господарства, лісового господарства, рибальства та мисливства","3,510,000.00",,,,,,,,,,"3,510,000.00"
"170000","Транспорт, дорожнє господарство, зв'язок, телекомунiкацiї та iнформатика","400,000.00",,,"38,370,670.00","12,472,030.00",,,"25,898,640.00",,,"38,770,670.00"
"170703","Видатки на проведення робіт, пов""язаних з будiвництвом, реконструкцiєю, ремонтом та утриманням автомобiльних дорiг",,,,"38,370,670.00","12,472,030.00",,,"25,898,640.00",,,"38,370,670.00"
"170901",Національна програма інформатизації ,"400,000.00",,,,,,,,,,"400,000.00"
"180000","Iншi послуги, пов'язанi з економiчною дiяльнiстю","1,506,500.00",,,"1,254,800.00",,,,"1,254,800.00","1,254,800.00","1,254,800.00","2,761,300.00"
"180107",Фiнансування енергозберiгаючих заходiв,"50,000.00",,,,,,,,,,"50,000.00"
"180404",Підтримка малого і середнього підприємництва,"800,000.00",,,,,,,,,,"800,000.00"
"180410","Інші заходи, пов""язані з економічною діяльністю","656,500.00",,,"1,254,800.00",,,,"1,254,800.00","1,254,800.00","1,254,800.00","1,911,300.00"
"200000",Охорона навколишнього природного середовища та ядерна безпека,,,,"47,150.00",,,,"47,150.00",,,"47,150.00"
"200200",Охорона i рацiональне використання земель,,,,"47,150.00",,,,"47,150.00",,,"47,150.00"
"210000",Запобігання та лiквiдацiя надзвичайних ситуацiй та наслiдкiв стихiйного лиха,"515,000.00","300,000.00","10,500.00",,,,,,,,"515,000.00"
"210105",Видатки на запобігання та лiквiдацiю надзвичайних ситуацiй та наслiдкiв стихiйного лиха,"515,000.00","300,000.00","10,500.00",,,,,,,,"515,000.00"
"240000",Цiльовi фонди,,,,"569,107.00","369,869.00",,,"199,238.00",,,"569,107.00"
"240601",Охорона та раціональне використання природних ресурсів,,,,"368,792.00","169,554.00",,,"199,238.00",,,"368,792.00"
"240604",Інша діяльність у сфері охорони навколишнього природного середовища,,,,"188,315.00","188,315.00",,,,,,"188,315.00"
"240900","Цільові фонди, утворені Верховною Радою Автономної Республіки Крим, органами місцевого самоврядування і місцевими органами виконавчої влади",,,,"12,000.00","12,000.00",,,,,,"12,000.00"
"250000","Видатки, не вiднесенi до основних груп","2,225,236,028.40",,,"93,000.00","93,000.00",,,,,,"2,225,329,028.40"
"250102",Резервний фонд,"2,948,324.40",,,,,,,,,,"2,948,324.40"
"250313",Додаткова дотація з державного бюджету на вирівнювання фінансової забезпеченості місцевих бюджетів ,"26,947,800.00",,,,,,,,,,"26,947,800.00"
"250318","Додаткова дотація з державного бюджету на виплату надбавок за обсяг та якість виконаної роботи медичним працівникам закладів охорони здоров’я, що надають первинну медичну допомогу, у непілотних регіонах","4,364,500.00",,,,,,,,,,"4,364,500.00"
"250326","Субвенція з державного бюджету місцевим бюджетам на виплату допомоги сім'ям з дітьми, малозабезпеченим сім'ям, інвалідам з дитинства, дітям-інвалідам та тимчасової державної допомоги дітям","1,834,580,900.00",,,,,,,,,,"1,834,580,900.00"
"250328","Субвенція з державного бюджету місцевим бюджетам на надання пільг та житлових субсидій населенню на оплату електроенергії, природного газу, послуг тепло-, водопостачання і водовідведення, квартирної плати (утримання будинків і споруд та прибудинкових територій), вивезення побутового сміття та рідких нечистот","141,069,000.00",,,,,,,,,,"141,069,000.00"
"250329","Субвенція з державного бюджету місцевим бюджетам на надання пільг з послуг зв'язку, інших передбачених законодавством пільг (крім пільг на одержання ліків, зубопротезування, оплату електроенергії, природного і скрапленого газу на побутові потреби, твердого та рідкого пічного побутового палива, послуг тепло-, водопостачання і водовідведення, квартирної плати (утримання будинків і споруд та прибудинкових територій), вивезення побутового сміття та рідких нечистот), на компенсацію втрати частини доходів у зв'язку з відміною податку з власників транспортних засобів та інших самохідних машин і механізмів та відповідним збільшенням ставок акцизного податку з пального і на компенсацію за пільговий проїзд окремих категорій громадян","36,196,000.00",,,,,,,,,,"36,196,000.00"
"250330",Субвенція з державного бюджету місцевим бюджетам на надання пільг та житлових субсидій населенню на придбання твердого та рідкого  пічного побутового палива і скрапленого газу,"37,431,400.00",,,,,,,,,,"37,431,400.00"
